"address","type","text","date","compensation","link"
"[""\n        "",""\ncompany seeking a qualified, full-time Executive Assistant for our office in San Diego, California.the ideal candidate would be one who is highly motivated and a self-starter. We are looking for individuals who multi-task extremely well, excel in time management, and are able to execute tasks without being asked to do so. This position encompasses many different duties in order to provide administrative support to our office,Qualified candidate send your resume.    ""]","employee's choice","AdministrativeAssistant","2018-04-25 18:35","$18.50 per hour","https://sandiego.craigslist.org/csd/ofc/d/administrativeassistant/6571762149.html"
"[""\n        "",""\n"",""\n"",""\nOur Construction Management department is seeking a Construction & Maintenance Assistant I (CMA-I)."",""\n"",""\nThe CMA-I will be responsible for assisting the department in effectively managing the company portfolio projects. In addition, the CMA-I will be responsible for processing and tracking renovation invoices.  This individual will be instrumental in organizing and tracking maintenance functions, projects and meeting deadlines."",""\n"",""\n"",""\n - Conduct all business in accordance with company policies and procedures, Fair Housing, Americans with Disabilities Act, Fair Credit Reporting Act, and all other laws pertaining to apartments."",""\n - Responsible for various assignments assigned by department staff. Supports department staff."",""\n - Payable processing for interior renovations, construction contracts and newly acquired properties upfront capital budgets."",""\n - Responsible for tracking and ordering of all maintenance name badges."",""\n - Manage The Home Depot account for all Regionals and corporate employees, including receipt confirmations, order approvals, invoice coding & proper billing."",""\n - Schedule department staff's travel reservations including hotel, flight, rental car and any additional travel requests."",""\n - Creates and inputs rolling weekly department agendas with weekly meeting notes."",""\n - Annual capital project(s) tracking, monthly reporting and scheduling."",""\n - Assists and creates miscellaneous spreadsheets and projects as needed by Construction/Maintenance department."",""\n - Additional projects and responsibilities as assigned."",""\n"",""\n"",""\n - 2 to 3 years of administrative experience."",""\n - Working knowledge of MS Excel, Word, Outlook and PowerPoint."",""\n - Demonstrated proficiency for efficiently managing multiple tasks and projects."",""\n - Highly effective interpersonal skills."",""\n - Excellent organizing and prioritizing skills."",""\n - Able to work with and effectively convey ideas to a diverse employee population."",""\n - Excellent verbal and written communication skills.  Talent for maintaining composure in difficult conversations."",""\n - Must possess a valid Driver's License and required automobile insurance coverage"",""\n "",""\n"",""    ""]","full-time","Construction Maintenance Assistant I","2018-04-25 11:06","Competitive Pay plus benefits","https://sandiego.craigslist.org/csd/ofc/d/construction-maintenance/6571335533.html"
"[""\n        "",""\nWe are a peaceful and busy community acupuncture center located in Hillcrest. We have four acupuncturists, a part-time administrative assistant, and are looking to add another part time administrative assistant to our team (to start as soon as possible)."",""\n"",""\nTuesday + Wednesday 10a-2p and 3-7p"",""\nThursday 10a-2p"",""\nFriday 3-7p"",""\n"",""\nQualities: warm, friendly, compassionate, dependable, honest, supportive and health-oriented "",""\nSkills: computer savvy, excellent communication skills, detail-oriented, able to multi-task, knowledge of acupuncture helpful"",""\nDuties: greeting patients, filing, data entry, light bookkeeping, payment processing, answering phone, stocking and pricing herbs, tidying office space and helping create a welcoming, friendly atmosphere"",""\n"",""\nWe offer $12.50 an hour, wholesale prices on herbs and products, free acupuncture treatments with owners and a fun work environment."",""\n"",""\nThis job is a great fit for someone interested in health, wellness, acupuncture and holistic healing. "",""\n"",""\nPlease attach your resume, a brief note about yourself and we will be in touch, thank you!"",""\n"",""\n    ""]","part-time","Part-Time Front Desk Position at Community Acupuncture Clinic","2018-04-25 11:27","12-13 hour","https://sandiego.craigslist.org/csd/ofc/d/part-time-front-desk-position/6571361233.html"
"[""\n        "",""\nCompany Type -- Commercial Real Estate -- Full Service "",""\nJob opportunity -- Admin Assitant -- Full Time "",""\nDuties - Front desk, phone calls, appointment setting, reporting, data entry, research, copying, filing, prepare marketing material, Property managmenet, and misc. duties "",""\nQualifications -- 2+ years experience, self starter, organized, knowledge of Microsoft Suite, 4 year degree and DRE license not required but preferred. "",""\n"",""\nPlease email your resume for consideration."",""\n    ""]","contract","►►ADMIN ASSISTANT- REAL ESTATE►►","2018-04-25 12:20","$2000/mo plus bonus","https://sandiego.craigslist.org/csd/ofc/d/admin-assistant-real-estate/6571423243.html"
"[""\n        "",""\nAre you aggressive, outgoing, quick-minded, and excited by technology? Do you follow up and drive work forward? Our company is growing rapidly, and we are looking for a Project Assistant to help our project managers move tasks forward to completion.  "",""\n"",""\nDescription: As a Project Assistant, you will be responsible for keeping track of tasks in various projects, making sure the tasks are being worked on, and keeping track of what tasks have been completed or are facing blockers. "",""\n"",""\nYou will be in constant communication with our project managers, developers, and clients, informing them of the current status of each task."",""\n"",""\nRequirements: Native English Speaker, grammatically proficient, general knowledge of Microsoft Products (Word, Excel, etc.), willing to learn to use new software technology."",""\n"",""\nPlease attach your resume when responding."",""\n"",""\nWe look forward to hearing from you!"",""\n    ""]","full-time","Project Assistant","2018-04-25 12:29","Compensation will be based on experience","https://sandiego.craigslist.org/nsd/ofc/d/project-assistant/6571433398.html"
"[""\n        "",""\nElite Security and Surveillance currently has a part time position available for a skilled and experienced administrative assistant that is self-motivated, dependable and team oriented."",""\n"",""\nResponsibilities"",""\n• Data entry, customer support, sales support & help scheduling jobs."",""\n• Support accounts payable and receivable activities"",""\n• Assist in website support and maintenance (training provided)"",""\n "",""\n"",""\nQualifications"",""\n• Knowledge of Quickbooks desired"",""\n• Microsoft Office skills including, Excel, Outlook & Word"",""\n• Attention to detail with a strong work ethic"",""\n• Able to learn new PC skills quickly"",""\n• Ability to communicate clearly and effectively"",""\n• Dependable, honest and friendly"",""\n"",""\nPart time position (with flexible hours)/full time. Forward your resume and a cover letter indicating why you are the candidate for the position. "",""\n"",""\n• Location: El Cajon"",""\n• Compensation: $12-15/hr"",""\n• Principals only. Recruiters please don't contact this job poster."",""\n• Please do not contact job poster about other services, products or commercial interests."",""\n    ""]","full-time","Administrative Assistant w/Bookkeeping Responsibilities","2018-04-25 12:53","$15/hour starting up to $22 w/benefits","https://sandiego.craigslist.org/esd/ofc/d/administrative-assistant/6571460987.html"
"[""\n        "",""\nSuccessful General Engineering Contractor located in Encinitas has an immediate opening for an experienced Contracts and Compliance Administrator. Need motivated team player with a minimum of 5 years construction experience dealing with contract and labor compliance to work alongside of a great team."",""\n"",""\nAs Administrator - Contracts and Compliance, you will have the opportunity to support our team at Burtech Pipeline, Inc., a family owned general engineering company that has been in business for more than 24 years! We are looking for someone to join our culture of collaboration and growth!"",""\n"",""\nAreas of Responsibly"",""\n•\tLeads preparation and administration of contracts, certificates of insurance and related contractual documentation for "",""\n        development projects to ensure timely execution of contracts"",""\n•\tSupport the Project Managers to prepare and update master and standard agreements"",""\n•\tPrepare and manage standard form contract agreements such as Master Subcontract Agreements"",""\n•\tOrdering certificates of insurance (GL/Workers Comp/Auto)"",""\n•\tLabor compliance monitoring such as DAS forms"",""\n•\tManaging/organizing wrap insurance"",""\n•\tResponsible for ordering and maintaining business licenses"",""\n•\tHandling lien related instances such as preliminary notices"",""\n•\tAccounts Payable input into Quickbooks "",""\n•\tVerify, match, enter and approve purchase orders"",""\n•\tVarious administrative duties and projects"",""\n•\tAssist project managers with various projects"",""\n•\tAssist answering phones"",""\n"",""\nQualifications and Requirements"",""\n•\tExperienced in Excel and Word"",""\n•\tExperience in QuickBooks a plus"",""\n•\tMust have knowledge of accounts payable"",""\n•\tWorks well independently or as a team"",""\n•\tWorks well in an environment with deadlines "",""\n•\tMust be able to communicate effectively and respectfully with other employees, customers, and vendors in accordance with "",""\n        the companies' principles and values"",""\n•\tAble to support the members of the accounting and PM team"",""\n•\tBilingual in Spanish a plus"",""\n"",""\nThe company offers a friendly and team-oriented environment, a competitive salary based on experience and benefits package including medical, dental, profit sharing, 401 (k)."",""\n    ""]","full-time","Administrator - Contract & Compliance","2018-04-25 13:05","TBD, plus bonus, benefits, 401k profit sharing","https://sandiego.craigslist.org/nsd/ofc/d/administrator-contract/6571473963.html"
"[""\n        "",""\n"",""\nWe are Daymon Interactions, a Daymon Worldwide Company. We provide innovative retail solutions and experiential marketing for retailers and brands across the globe."",""\n"",""\n"",""\nThe temporary "","" position will be located in our corporate office in "","" The AA supports the Account Coordinators with a variety of tasks including organization and communication related to marketing programs. The AA scope includes answering Brand Ambassador calls, closing out event recaps, data entry, working on miscellaneous launch projects and assisting with operational duties."",""\n"",""\n"",""\n"",""\n"",""\n- Excellent written and verbal communication skills"",""\n- Tech savvy - must know Microsoft Office Suite (Excel) & Google Docs"",""\n- A positive attitude"",""\n- Quick learner"",""\n- Detail oriented"",""\n- Self-starter"",""\n"",""Previous experience working in a a Call Center or high volume/fast paced environment is a plus.\n"",""\n"",""\n"",""\n"",""    ""]","full-time","Administrative Assistant (Temp - 3 months)","2018-04-25 13:17","$16/hr","https://sandiego.craigslist.org/csd/ofc/d/administrative-assistant-temp/6571486791.html"
"[""\n        "",""\nThis is a full-time position in Poway, CA with benefits. Business hours are from 7:00am - 4:30pm Monday-Thursday, and every other Friday 7:00am-3:30pm. We build computers and systems of technical nature. "",""\n"",""\nIt is imperative that you are organized, flexible, and motivated. It is also important to have great communication skills and to learn quickly due to the high volume of technical processes within the company."",""\n"",""\nWe are a small business of 20 people, the position is a department of 1, you will need to learn and take ownership of your area. "",""\n"",""\nA very important aspect of the job is work culture. We are a small company, and we work as a team. A positive attitude goes a long way. We work with each other to solve problems and hold each other accountable. We work together, we help in other departments, and speak up when things are not going according to plan."",""\n"",""\nWe are constantly updating and improving our process, identifying non conformances and raising the bar. Our employees have the ability to see problems and help implement solutions.  We also have fun including regular (monthly) game nights, potlucks and employee outings. Participation during regular business hours is expected, outside hours are optional."",""\n"",""\nThis position includes a range of tasks from ordering lunch to preparing paperwork for our repair department and shipping units internationally."",""\n"",""\nResponsibilities will include:"",""\n"",""\nAdmin related:  "",""\n"",""\n- Organization/document management - filing, scanning, physically and electronically"",""\n- Process oriented - do what you say you are going to do"",""\n- Schedule meetings for management/ordering lunches for office meetings"",""\n- Flexible, able to help various departments with tasks at hand, which varies based on the nature of the business"",""\n- Positive attitude "",""\n- Communication skills - email and verbal communication with customers, vendors, and other employees"",""\n- Answering phone calls"",""\n"",""\nCustomer Relations/Shipping/Receiving related:"",""\n"",""\n- Shipping units to foreign countries (filling out the proper paperwork and scheduling dates/times)"",""\n- Follow-up with vendors regarding parts ordered and parts outstanding"",""\n- Follow-up with customers regarding payment"",""\n- Assistance with purchasing and placing orders for parts "",""\n- Maintain positive customer and vendor relationships"",""\n"",""\nThese are some of the tasks, among others that may be designated. Flexibility is an important quality needed for this position."",""\n"",""\nSkills & Qualifications:"",""\n"",""\n- Must be US Citizen"",""\n- Minimum 2 years administrative experience, preferably in a manufacturing environment"",""\n- Strong knowledge of Microsoft suite and able to pick up various computer programs fairly quickly"",""\n- Highly organized"",""\n- Excellent team player who communicates well with coworkers and vendors"",""\n- Experience working in Quickbooks "",""\n"",""\n    ""]","full-time","Radeus Labs Administrative Assistant","2018-04-25 13:44","$14 - $16","https://sandiego.craigslist.org/nsd/ofc/d/radeus-labs-administrative/6571515141.html"
"[""\n        "",""\nA downtown CPA firm has an excellent opportunity for a File Clerk/Administrative Assistant.  The firm provides a professional work environment and career casual dress code.  Compensation is DOE and includes an exceptional benefits package."",""\n"",""\nCandidates must be proficient in Microsoft Office, Adobe Acrobat, possess strong organizational skills, able to adapt to a changeable daily tasks list, be efficient, reliable, comfortable in a fast paced environment, able to lift 40 lbs and work as a team member."",""\n"",""\nDuties would include but not be limited to:"",""\n"",""\n•\tBackup Receptionist"",""\n•\tScanning / Copying Documents"",""\n•\tFiling and File Room Maintenance"",""\n•\tAssist Team Members As Needed to Ensure Smooth, Efficient Workflow and Office Operations "",""\n"",""\n"",""\nPlease send your resume to hr92101a@lymscpa.com.  Include both your name and the words \""Administrative Assistant Position\"" in the email subject line."",""\n    ""]","full-time","FILE CLERK/ADMINISTRATIVE ASSISTANT","2018-04-25 14:05","DOE","https://sandiego.craigslist.org/csd/ofc/d/file-clerk-administrative/6571536637.html"
