compensation,date,type,link,address,text
DOE please inform your rate in cover letter (we will delete those that ignore it),2018-04-24 12:34,part-time,https://sandiego.craigslist.org/csd/web/d/adwords-person-in-office/6570447818.html,"
        ,
We are looking for someone who has at least 3 years' experience with Adwords to work out of our office one day a week (we have some flexibility on the day), or two half-days. We have a lot of experience with Adwords ourselves and recently attended SMX for 8 hours with the Google people. We are looking for someone who dresses and acts professionally, and is interested in being better with Adwords, someone who can keep us at the cutting edge with results that we can see. ,
,
You should be a person who pays attention to detail, has a friendly outlook and disposition, and someone who cares enough about what they do to be on top of their game; we are looking to hire an individual for our own strategic reasons and will delete all emails from companies, so companies please save your time, we already have one. Also, no long-distance work, this is an in-office position so please do not apply if you are not in San Diego. ,
,
Please send a cover letter explaining your choice of days of the week and hourly rate. Tell us about your experience with Adwords and why you should be our first choice. This is a permanent part-time position for the right person; the hours may increase and at some point may lead to a career full-time position.    ",Adwords Person (In-Office Individual)
based upon experience and ability,2018-04-09 19:40,part-time,https://sandiego.craigslist.org/nsd/web/d/need-t-re-licensee-to-assist/6556762216.html,"
        ,
Successful small real estate company needs part time licensee to assist with marketing, administration, sales, escrows, social media and web site.  Must have strong written and verbal communication skills.    ","Need P/T RE Licensee to assist with sales, escrow, social media"
$20.00 to $25.00 /hour depending on experience,2018-04-09 23:28,contract,https://sandiego.craigslist.org/ssd/web/d/internet-marketing-technician/6556837843.html,"
        ,
- Individual APPLICANTS only, companies please DON'T offer your services ,
- No Students, this is FULL time position,
- No remote workers ,
------------------------------------------------------------------------------------------------,
At iQtropics, we specialize in nootropic, brain enhancing smart drinks.,
,
We are currently seeking a full time, hardworking, talented Junior Internet Marketing Technician to join our team. This job description does not attempt to define, in detail, all duties and responsibilities and may be subject to review and alteration by the company.,
,
JOB DUTIES Include:,
Creating and updating company social content and strategic advertisement,
Search Engine Optimization,
Search Engine Marketing,
Webmaster Tools,
Analytics,
Adsense,
Adwords,
Management of traffic generating tools,
Affiliate platform management,
Affiliate marketing with blogs and forums,
Google Shopping,
Amazon Shopping,
Social media Ad campaigns (Facebook, Instagram, YouTube etc),
Email Campaigns,
Shopify Backoffice,
Ontraport or MailChimp,
Push notification mobile campaigns,
WordPress,
Shopify,
Email Marketing,
Content Marketing,
,
BENEFITS:,
Salary: $20.00 to $25.00 /hour depending on experience,
Training provided,
Valuable future proof skills and financial education,
,
REQUIREMENTS:,
Resourcefulness,
Ability to enjoy solving problems,
Ability to learn as you go,
Willingness to learn and improve on existing methods,
Track record of completed projects,
Passion for IT,
Working directly with executive team,
Quality minded, positive team player, problem solver,,
""Can do right on it"" attitude,
1 -3 years IT experience,
Ability to adapt and learn various positions and procedures,
Ability to work independently and follow directions,
Effectively read, write and communicate in English,
Relevant work experience preferred.,
Must have flexible availability to work mornings, evenings, weekends and holidays with minimal personal commitments and responsibilities.,
,
BASIC UNDERSTANDING in:,
Website Design,
Video Editing,
Graphics Editing,
Wikipedia editing,
This position requires at least 2 years of relevant work experience,
APPLY here: ,
,
We will email candidates who made to shortlist for interview.,
,
,
All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, or protected veteran status or disability status.,
,
,
Location: San Diego / Kearny Mesa,
This is a Full-time job.,
The Probation Period - 3 months.    ",Internet Marketing Technician Job Vacancy
$50k - $55k base (other compensation will be available),2018-04-10 10:12,full-time,https://sandiego.craigslist.org/csd/web/d/full-time-front-end-web/6557199599.html,"
        ,
*This is an in-house position ONLY! You must live in  San Diego to be considered.,
,
Ladies and Gentlemen,
,
We're a boutique web development and marketing agency in the Little Italy area of San Diego, CA seeking a creative, skilled, energetic, hardworking,  and all-around cool person to come join our team. We build websites, micro-sites, apps, content management systems, databases and more. We build these for small businesses and major brand names alike. We work as a team to develop new websites in both HTML and WordPress formats. ,
,
,
Required skillset for this position:,
,
•	HTML5/CSS3 Expert (Be able to cut and code PSD mocks into pixel-perfect web pages from SCRATCH),
•	Clean eye for design and typography/Strong design and layout skills (Extreme attention to detail with paddings, margins, line-heights, letter-spacing, etc),
•	Photoshop expertise required,
•	Bootstrap or Foundation experience,
•	Responsive/media queries expert (Our websites should look great on every device size),
•	Advanced WordPress proficiency (Theme manipulation through advanced CSS, knowledge of actions and functions.php),
•	Knowledge of page speed optimization (Know when to use PNG's vs. JPG's, appropriately size images, etc),
•	Some experience with Javascript/jQuery (Ideal candidate can manipulate and use jQuery plugins for animations and general UI/UX functionality),
•	HTML Email Blast Experience (We use MailChimp),
•	Portfolio with live working web pages of your recent work,
•	Experience with .PHP,
,
Candidate's responsibilities include:,
,
•	Build New Websites using WordPress,
•	Build New Websites, microsites and landing pages from scratch using Bootstrap/Foundation,
•	Implement, maintain and update WordPress Websites,
•	On-going enhancements to existing websites,
•	Create quality mockups on tight timelines,
•	Familiar with UI development, landing pages,
•	Ability to make a website responsive to multiple device and multiple browsers,
•	Stay up-to-date on emerging technologies,
,
,
TO APPLY:,
,
-Resume & cover letter ,
-Portfolio of your best and most recent work,
,
This is a full-time in-house position ONLY! You must live in  San Diego to be considered. No freelancers.,
,
Compensation: $50k - $55k ,
Health Insurance Benefits: Yes,
Paid Vacation: Yes - accrues after probation period ends    ",Full time Front End Web Designer- Wordpress / HTML
12-15 PER HOUR PLUS BONUS PER TRANSACTION,2018-04-10 10:14,employee's choice,https://sandiego.craigslist.org/nsd/web/d/marketing-assistant/6557201874.html,"
        ,
We are seeking a professional, detail-oriented individual who can multi-task; has exceptional organization & excellent computer skills for a Top producing team in North County. The ideal candidate will be an energetic team player who takes initiative to get the job done. ,
,
Job Duties: ,
•	Answering telephones,
•	Scheduling appointments,
•	Preparing Advertising for magazines and newspapers,
•	Posting on social media platforms. Creating engaging/ visually aesthetic content for our audience,
•	Creating/posting video content marketing to increase brand awareness and sales,
•	Assisting Sales agents with miscellaneous projects,
•	Helping set up and documenting events, open houses, video shoots, etc. ,
•	Manage company reviews (acquire more and respond) on Yelp, Google Business, Facebook,
•	Providing overall support to lead agent. ,
,
REQUIRED SKILLS:,
,
•	Creative marketing and advertising with a passion for social media and familiarity with platforms including but not limited to Facebook, Instagram, Pinterest, and Twitter,
•	Experience in using video as a tool for marketing to build our brand and increase sales,
•	Excellent written AND verbal communication skills,
Customer service - Comfortable speaking/engaging with clients,
•	Fast learner comfortable with all things digital/tech,
•	Attention to detail ,
•	Demonstrated ability to multi-task and meet a variety of deadlines ,
•	Positive and professional attitude,
•	Work in a team environment,
,
An understanding of the real estate industry is helpful but not required. There is definite room for growth with this position for the right candidate.,
Must have a cover letter or will delete application. ,
Must live in North County!,
Part time or full time available. ,
PLEAS NO COMPANIES! LOOKING FOR INDIVIDUAL TO WORK IN OUR OFFICE. ,
SEND RESUME, INCLUDING EDUCATION HISTORY, AS A WORD DOCUMENT,
    ",Marketing assistant
up to $20ph/DOE,2018-04-10 10:42,contract,https://sandiego.craigslist.org/csd/web/d/jr-production-artist-freelance/6557236654.html,"
        ,
Our client in the Casino, Resort, and Hospitality industry is looking for a Production Artist to join their team for the next 4-5 months on a freelance basis for maternity leave coverage.,
,
In this role, you will report into the Creative Services Manager and your daily responsibilities will include:,
,
-Create layout and artwork for ads, signage displays, billboards, promotional materials and sponsorship packages,
-Work closely with Graphic Designers to develop production artwork for vendors and/or specific photo or film shoots,
- Provide production artwork support for all advertising projects upon request,
-Create event branding by providing production artwork during the development phase of advertising campaigns and event and/or department-specific logo design ,
-General support to the Creative Services department ,
,
The ideal candidate has:,
- 1-2+ years of experience,
- Proficient in Adobe Creative Suite,
- Ability to effectively interact with customers, external agencies, vendors, and team members,
- Open to feedback,
- Strong time management skills,
,
This is an amazing opportunity to build your book with a big name in the industry and a great culture + a friendly team! This is ONSITE FREELANCE IN EL CAJON.    ",Jr. Production Artist - Freelance
"55,000 annual salary, depending upon experience",2018-04-10 11:49,full-time,https://sandiego.craigslist.org/nsd/web/d/website-online-marketing/6557316908.html,"
        ,
We are a local publishing company looking for a full time Website / Online Marketing Project Specialist. This is an in-house position in Carlsbad with opportunity for growth and advancement. We offer a 4-day work week (Monday-Thursday, 7 am - 5:30 pm) with benefits and paid time off.,
,
Please read the job description and requirements below and email your resume to be considered for an interview.,
,
Job Summary:,
With general guidance, manages website properties including website content, new web development, online summits, and marketing of the websites. Responsible for creating and executing website content, website development and web promotional activities under the direction of the Sr. Web Project Manager.,
,
Primary Duties and Responsibilities:,
,
- Completes web deliverables and manages execution of project plans.,
- Manages overall marketing of assigned websites and increases traffic to assigned websites.,
- Researches and executes plans to continually increase conversions into database names and increase revenue generated from assigned websites.,
- Manages various web related projects including development and launch of future phases under the direction of the Web Director and Sr. Web Project Manager.,
- Responsible for regular plugin and content updates to WordPress and other custom admin back-ends.,
- Communicate project status and updates with team members and website stakeholders.,
- Creates and approves content, metadata, creative assets, materials, etc. associated with assigned websites and projects.,
- Creates specs for web developers to develop and maintain websites and performs ongoing website Q/A.,
- Writes web content as needed for areas in development, and ongoing content as needed.,
- Manages online summit schedule and production deadlines to keep projects on task.,
- Completes regular reports results of traffic and revenue using web analytics tools and makes recommendations on changes based on data.,
- Presents development reviews and suggestions for optimizations in email collection and website membership conversions.,
,
Skills, Knowledge & Abilities:,
•	Excellent verbal and written communication skills.  ,
•	Ability to manage outside vendors.,
•	Ability to manage multiple projects and priorities simultaneously.,
•	Excellent attention to detail and the ability to effectively multi-task to meet deadlines in a fast-paced environment.,
•	Knowledge of web development, website analytics, and understanding of database driven websites.,
•	Knowledge of WordPress Administration STRONGLY desired.,
•	Knowledge of project management software (Asana, Basecamp, etc.),
•	Technological proficiency for use of the personal computer, Microsoft Excel, Word, internet.,
•	Good team oriented attitude - must work closely with interrelated departments/peers.,
•	Experience managing projects and working with executive teams.,
•	Basic HTML knowledge desired, training available.,
•	Basic internet marketing knowledge.,
,
Education and/or Experience:,
•	Prior experience typically achieved through 2-4 years of web project management experience, and/or including internet marketing / digital experience.,
•	Experience managing broad scoped projects.,
•	Theoretical knowledge typically achieved through a related four-year college experience, such as a Bachelor's degree in marketing or equivalent.,
,
,
If you meet these qualifications, please email your resume to be considered for an interview. Thank you!    ",Website / Online Marketing Project Specialist
"$50,000 a year to $70,000 a year depending on experience",2018-04-10 14:25,full-time,https://sandiego.craigslist.org/csd/web/d/seo-digital-marketing-project/6557486088.html,"
        ,
Ignite Visibility (,), a fast growing Internet marketing company based in San Diego, is looking for a SEO & Digital Marketing Project Manager to manage 8 to 12 SEO accounts depending on size. ,
,
Ignite Visibility's core competencies are SEO, social media, PPC, CRO and email. This person must have a strong background in the majority of these areas.,
,
Qualifications,
• Must have 3 years' experience in Internet Marketing,
• Must have 2 years' experience in SEO,
• Agency experience is a must,
• Must be knowledgeable of on-site SEO and link building,
• Must have done a keyword assignment,
• Must have excellent communication skills,
• Must have knowledge of social media and how it relates to SEO,
• Must have knowledge of technical SEO items,
• Must have knowledge of Wordpress and blogging,
• Must have knowledge of Facebook, Twitter, Google +, LinkedIn, YouTube,
Responsibilities,
• Lead weekly meetings with clients,
• Ensure campaign deliverables are executed,
• Provide client reporting,
• Make recommendations for client strategy,
• Come up with editorial calendar ideas,
• Create client linking strategy,
• Manage multiple clients and ensure results,
• Lead internal meetings,
,
This person should be a go-getter who loves Internet marketing and brings a positive can-do attitude to company! This person needs to have a very strong background in SEO and digital marketing. This is a great position at a growing company. Apply today!,
Competitive salary, benefits, vacation time. ,
,
,    ",SEO & Digital Marketing Project Manager (Fast Growing Company)
$20/hr + Based on experience,2018-04-12 11:09,full-time,https://sandiego.craigslist.org/csd/web/d/rockstar-web-designer/6559193930.html,"
        ,
WHO WE ARE:,
,
We are a boutique digital advertising agency with offices in Little Italy, San Diego. From website design and SEO, to content creation and social media marketing, we oversee all aspects of our clients' web presence. We are currently looking for a WEB DESIGNER with experience working in-house, as a contributing member of a graphic and web design team.,
,
WHO WE'RE LOOKING FOR:,
,
We are looking for an experienced and skilled designer. Our ideal candidate is hardworking, focused, with an eye for clean and effective design and strong attention to detail. You will work closely with others on projects that range from content sites, blogs, landing pages and offer pages. In this position you will be expected to work on a variety of projects, including website design, logo design, banner ads, print ads, branding materials, basic HTML/CSS coding and editing, and some photo editing/retouching. The right candidate will be a problem-solver that can work individually as well as on a team.,
,
RESPONSIBILITIES OF POSITION:,
,
• Design/develop appealing and responsive customized websites that convert;,
• Identify problems and generate ideas for solutions for existing websites;,
• Maintain and edit client websites;,
• Manage multiple projects both independently and collaboratively.,
,
IN ORDER TO BE CONSIDERED:,
,
• 3yrs + experience with Illustrator and Photoshop is required; ,
• 3yrs + development experience with CSS3, HTML5 and JavaScript;,
• Proficient in Adobe Creative Cloud (specifically Photoshop, Illustrator, Dreamweaver, and InDesign);,
• Portfolio that demonstrates strong layout skills and understanding of UI and UX concepts;,
• Understanding of current industry trends and best practices;,
• Strong understanding of typography, layout and color;,
• Excellent interpersonal skills with strong desire to move projects forward and be proactive;,
• Extremely organized and detail-oriented;,
• Excellent time management skills required for meeting deadlines while managing workload;,
• Knowledge of full Adobe CC Suite and Microsoft Office, a plus; and,
• Basic knowledge of HTML, CSS, JS and JQuery, also a plus.,
,
Ideal candidate has deep experience in managing Word Press content sites and blogs.,
,
This position is full-time and in-house. Compensation is commensurate with experience. In order to apply, please send your cover letter and resume in pdf format, as well as a link to your portfolio.    ",Rockstar Web Designer/Developer For Fast Growing eComm Company
DOE // up to $26ph,2018-04-12 12:58,contract,https://sandiego.craigslist.org/csd/web/d/graphic-designer-freelance/6559317986.html,"
        ,
Our client, a top gifting company, is looking for the help of a freelance Digital Designer! This will be onsite freelance with FLEXIBLE PART-TIME work needed during core hours (8a-6p).,
,
You will be working under the Creative Director and Art Director on an online gifting brand creating assets in support of their seasonal marketing campaigns that will be running across web, email, mobile, display ads, and even some print work. You will be working with an established style and brand guide to execute assets.,
,
The ideal candidate has:,
+ 3 years of experience,
+ Strong digital chops - email experience highly preferred! ,
+ eCommerce or food brand experience is a MUST,
+ Photoshop, InDesign and Illustrator PRO!,
+ Clean, modern design approach,
+ Great typography, composition and color/image optimization,
+ Excels in a corporate, fast-paced environment,
,
If you are looking to be part of exciting brand growth and have the name of publicly traded company on your resume - this is an exciting and RARE opportunity! Apply Today!    ",Graphic Designer- Freelance PART TIME ONSITE
